minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature
151,excellent,2.669715663,21.93,33.58,28.09,14.77,41.83,5.91,2.37,1.63,30.57,15,56.5,34.5
152,excellent,2.671090425,21.93,33.58,28.23,14.77,42.13,5.93,2.38,1.65,30.73,15,56.5,34.5
153,excellent,2.672478483,21.93,33.77,28.23,14.71,41.83,5.64,2.38,1.63,30.73,15,56.5,34.5
154,excellent,2.673879924,21.93,33.77,28.23,14.71,41.83,5.86,2.38,1.63,30.57,15.12,56.5,34.5
155,excellent,2.675294833,21.93,33.77,28.23,14.71,41.83,5.81,2.37,1.63,30.57,14.94,56.5,34.5
156,excellent,2.676723295,21.93,33.58,28.23,14.71,41.83,5.67,2.38,1.65,30.73,15.12,56.5,34.5
157,excellent,2.678165394,21.93,33.77,28.37,14.77,42.13,5.71,2.38,1.65,30.9,14.76,56.5,34.5
158,excellent,2.679621215,21.93,33.77,28.37,14.77,42.13,5.71,2.38,1.65,30.73,14.58,56.6,34.5
159,excellent,2.681090842,22.03,33.96,28.37,14.77,42.13,5.74,2.38,1.65,30.9,14.58,56.6,34.5
160,excellent,2.682574358,22.03,33.77,28.37,14.77,42.13,5.76,2.4,1.66,30.9,15.18,56.6,34.5
161,excellent,2.684071846,22.03,33.96,28.52,14.83,42.13,5.76,2.41,1.67,30.9,15.18,56.6,34.5
162,excellent,2.68558339,22.14,33.96,28.52,14.83,42.13,5.79,2.41,1.67,30.9,15.18,56.6,34.5
163,excellent,2.687109072,22.03,34.15,28.66,14.83,42.13,5.86,2.38,1.67,30.9,15.25,56.6,34.5
164,excellent,2.688648974,22.14,34.15,28.66,14.83,42.13,5.91,2.41,1.68,30.9,14.7,56.6,34.5
165,excellent,2.690203177,22.14,34.15,28.81,14.83,42.44,5.84,2.41,1.68,31.06,14.82,56.6,34.5
166,excellent,2.691771762,22.14,33.96,28.81,14.83,42.44,5.88,2.42,1.68,31.06,14.7,56.6,34.6
167,excellent,2.69335481,22.03,33.96,28.81,14.83,42.44,5.91,2.42,1.68,31.06,14.52,56.6,34.6
168,excellent,2.694952401,22.14,33.96,28.81,14.83,42.44,5.88,2.42,1.68,31.06,14.64,56.6,34.6
169,excellent,2.696564614,22.14,33.77,28.96,14.83,42.13,5.79,2.44,1.7,31.06,14.64,56.6,34.6
170,excellent,2.698191529,22.03,33.77,28.66,14.83,42.13,5.79,2.42,1.68,31.06,14.7,56.6,34.6
171,excellent,2.699833223,21.93,33.77,28.66,14.83,42.44,5.86,2.41,1.67,30.9,14.82,56.6,34.6
172,excellent,2.701489774,21.93,33.96,28.66,14.77,42.44,5.88,2.41,1.67,31.06,14.46,56.6,34.6
173,excellent,2.70316126,22.03,33.96,28.52,14.77,42.44,5.76,2.4,1.66,30.9,14.7,56.6,34.6
174,excellent,2.704847756,22.03,33.96,28.52,14.77,42.13,5.88,2.4,1.66,30.9,14.7,56.6,34.5
175,excellent,2.706549339,22.03,33.96,28.66,14.77,42.44,5.84,2.4,1.65,31.06,14.7,56.6,34.6
176,excellent,2.708266084,22.03,34.15,28.66,14.77,42.44,5.91,2.4,1.66,30.9,14.76,56.6,34.6
177,excellent,2.709998066,22.03,33.96,28.66,14.77,42.44,5.88,2.38,1.65,30.9,14.76,56.6,34.6
178,excellent,2.711745358,22.03,33.77,28.52,14.71,42.13,5.86,2.38,1.63,30.73,14.82,56.6,34.6
179,excellent,2.713508033,25.72,9.75,9.42,25.63,15.27,3.82,5.72,1.26,37.22,16.98,56.7,36.4
180,excellent,2.715286163,25.35,9.71,9.35,25.5,15.14,3.85,5.7,1.24,37,17.12,57.1,36.5
181,excellent,2.717079821,25.47,9.67,9.35,25.75,15.14,3.85,5.72,1.28,36.35,17.05,57.4,36.3
182,excellent,2.718889076,25.35,9.56,9.27,25.63,15.07,3.89,5.74,1.27,36.78,16.84,59.7,36.3
183,excellent,2.720713999,25.11,9.34,9.09,25.63,14.88,3.89,5.88,1.29,35.93,16.7,58.9,36.3
184,excellent,2.722554659,24.99,9.3,9.02,25.75,14.76,3.84,5.93,1.29,35.93,16.84,59.4,36.3
185,excellent,2.724411124,24.63,8.77,8.05,22.86,13.45,3.82,5.86,1.2,33.55,15.37,62,35.7
186,excellent,2.726283462,24.99,8.91,8.34,24.77,13.79,3.89,5.86,1.23,33.17,15.75,62.7,35.8
187,excellent,2.728171739,25.23,9.05,8.44,24.89,13.74,3.89,5.86,1.26,33.36,15.95,63.1,35.6
188,excellent,2.73007602,25.35,9.16,8.54,25.01,13.85,3.95,5.86,1.27,33.55,16.08,63.5,35.6
189,excellent,2.731996371,25.23,9.19,8.61,25.25,13.97,3.95,5.86,1.24,33.55,16.15,63.7,35.5
190,excellent,2.733932856,25.72,9.3,8.68,25.5,14.03,4,5.95,1.32,33.55,16.35,64,35.5
191,excellent,2.735885537,25.6,9.37,8.68,25.25,13.91,4.02,5.98,1.32,33.36,16.63,64.3,35.5
192,excellent,2.737854475,25.6,9.34,8.74,25.75,13.97,4.04,6.02,1.34,33.74,16.7,64.5,35.5
193,excellent,2.739839733,25.6,9.41,8.71,25.75,13.85,4.04,6.02,1.32,33.93,16.91,64,34.8
194,excellent,2.74184137,26.1,9.67,8.95,25.88,14.09,4.23,6.24,1.47,34.31,17.34,64.6,35.6
195,excellent,2.743859444,25.47,9.23,8.51,25.13,13.62,3.95,5.88,1.22,33.17,16.77,64.6,35.6
196,excellent,2.745894015,25.35,9.12,8.51,25.13,13.68,3.93,5.91,1.23,32.63,16.7,64.7,35.6
197,excellent,2.747945137,25.23,9.16,8.51,25.13,13.68,3.95,5.88,1.23,32.45,16.63,64.6,35.7
198,excellent,2.750012868,25.11,9.12,8.44,25.01,13.68,3.91,5.86,1.18,32.99,15.62,64.6,35.8
199,excellent,2.752097261,25.47,11.49,8.44,25.13,13.68,3.91,5.86,1.18,32.45,16.63,64.7,35.8
200,excellent,2.754198371,25.35,9.19,8.44,25.13,13.68,3.95,5.88,1.21,32.45,16.56,64.6,35.6
201,excellent,2.756316249,25.11,9.16,8.44,24.89,13.68,3.91,5.84,1.2,32.27,16.35,64.6,35.9
202,excellent,2.758450948,25.47,9.16,8.44,25.01,13.62,3.98,5.86,1.2,32.09,16.42,64.7,35.9
203,excellent,2.760602516,25.23,9.23,8.41,25.25,13.68,3.93,5.88,1.21,32.27,16.42,64.8,35.9
204,excellent,2.762771004,25.23,9.12,8.41,25.01,13.62,3.87,5.88,1.21,32.09,16.42,65.3,36
205,excellent,2.764956458,25.11,9.19,8.44,24.89,13.68,4,5.84,1.18,32.27,16.49,65.4,36
206,excellent,2.767158926,25.47,9.23,8.41,25.13,13.68,4,5.86,1.21,31.92,16.77,65.4,36
207,excellent,2.769378453,25.47,9.23,8.41,24.89,13.62,4,5.88,1.18,32.27,16.77,64.8,35.8
208,excellent,2.771615083,25.47,9.19,8.41,24.77,13.45,3.98,5.88,1.22,32.09,16.63,65.3,36.1
209,excellent,2.773868859,25.23,9.3,8.41,25.01,13.57,4.04,5.88,1.18,32.09,16.84,65.4,36.1
210,excellent,2.776139822,25.23,9.23,8.41,25.01,13.51,4.06,5.88,1.22,31.92,16.84,65.6,36.1
211,excellent,2.778428013,25.11,9.16,8.41,25.01,13.45,4.06,5.91,1.23,31.92,16.63,65.6,36.3
212,excellent,2.780733471,25.35,9.19,8.37,24.65,13.29,4.02,5.91,1.22,31.92,16.63,65.7,36.1
213,excellent,2.783056235,25.11,9.19,8.37,24.65,13.29,4.08,5.91,1.23,31.92,16.7,65.8,36.2
214,excellent,2.785396339,25.47,9.19,8.37,24.77,13.29,3.98,5.93,1.23,31.74,16.7,66.4,37
215,excellent,2.787753821,25.47,9.26,8.37,24.77,13.29,4.1,5.95,1.23,31.92,16.84,65.8,36.2
216,excellent,2.790128713,25.35,9.3,8.41,24.77,13.23,4.08,5.98,1.23,31.92,16.77,65.9,36.3
217,excellent,2.792521049,25.35,9.3,8.44,25.01,13.23,4.12,5.93,1.26,31.92,16.84,65.9,36.2
218,excellent,2.794930858,25.97,9.67,8.74,25.38,13.4,4.33,6.27,1.43,32.99,17.34,65.9,36.5
219,excellent,2.797358173,25.72,9.56,8.71,25.38,13.4,4.37,6.29,1.44,31.92,17.12,65.9,36.4
220,excellent,2.79980302,24.87,9.12,8.24,24.42,12.96,4.06,5.91,1.21,31.23,16.56,66,36.4
221,excellent,2.802265427,24.87,9.09,8.24,24.42,12.96,3.98,5.88,1.17,31.23,16.42,66,36.4
222,excellent,2.80474542,24.99,9.05,8.21,24.3,12.91,3.95,5.91,1.16,31.4,16.42,66,36.4
223,excellent,2.807243023,24.99,9.05,8.21,24.53,13.02,4.02,5.88,1.16,30.9,16.49,66,36.5
224,excellent,2.80975826,25.23,9.16,8.18,24.3,12.86,4.04,5.91,1.15,31.57,16.49,66.1,36.5
225,excellent,2.812291151,24.99,9.05,8.15,24.18,12.8,4.06,5.88,1.12,31.23,16.35,66,36.5
226,excellent,2.814841717,24.87,9.16,8.18,24.18,12.86,4,5.91,1.15,31.23,16.28,66.1,36.5
227,excellent,2.817409977,25.11,9.16,8.18,24.3,12.8,3.98,5.88,1.16,31.06,16.49,66.1,36.5
228,excellent,2.819995948,25.35,9.05,8.15,24.3,12.86,4.04,5.88,1.15,30.73,16.28,66.2,36.5
